mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	1/4	1/8		1/8	1		-4	68	1	1	
1	1	3/8	1/16		1/16	1		-4	68	1	2	
1	1	3/8	1/4		1/4	1		-2	70	1	1	
1	1	7/16	1/16		1/16	1		-5	61	1	2	
1	1	1/2	1/8		1/8	1		-3	51	2	1	
1	1	1/2	1/16		1/16	1		-3	63	1	2	
1	1	9/16	1/16		1/16	1		1	67	1	2	
1	1	5/8	1/16		1/16	1		-5	61	1	2	
1	1	5/8	1/8		1/8	1		-3	75	2	1	
1	1	11/16	1/16		1/16	1		-3	63	1	2	
1	1	3/4	1/16		1/16	1		-2	70	1	2	
1	1	3/4	1/4		1/4	1		0	72	1	1	
1	1	13/16	1/16		1/16	1		0	60	1	2	
1	1	7/8	1/8		1/8	1		-4	56	2	1	
1	1	7/8	1/16		1/16	1		-3	63	1	2	
1	1	15/16	1/16		1/16	1		-4	68	1	2	
1	1	1	1/16		1/16	1		0	60	1	2	
1	1	1	1/8		1/8	1		-4	80	2	1	
1	1	17/16	1/16		1/16	1		-3	63	1	2	
1	1	9/8	1/16		1/16	1		-4	68	1	2	
1	1	9/8	1/4		1/4	1		-2	70	1	1	
1	1	19/16	1/16		1/16	1		-5	61	1	2	
1	1	5/4	1/8		1/8	1		-3	51	2	1	
1	1	5/4	1/16		1/16	1		-3	63	1	2	
1	1	21/16	1/16		1/16	1		1	67	1	2	
1	1	11/8	1/16		1/16	1		-5	61	1	2	
1	1	11/8	1/8		1/8	1		-3	75	2	1	
1	1	23/16	1/16		1/16	1		-3	63	1	2	
2	2	0	1/16		1/16	1		-2	70	1	2	
2	2	0	1/4		1/4	1		0	72	1	1	
2	2	1/16	1/16		1/16	1		0	60	1	2	
2	2	1/8	1/8		1/8	1		-4	56	2	1	
2	2	1/8	1/16		1/16	1		-3	63	1	2	
2	2	3/16	1/16		1/16	1		-4	68	1	2	
2	2	1/4	1/16		1/16	1		-3	63	1	2	
2	2	1/4	1/8		1/8	1		-4	80	2	1	
2	2	5/16	1/16		1/16	1		0	72	1	2	
2	2	3/8	1/16		1/16	1		1	79	1	2	
2	2	3/8	1/4		1/4	1		-4	80	1	1	
2	2	7/16	1/16		1/16	1		-4	68	1	2	
2	2	1/2	1/8		1/8	1		-5	61	2	1	
2	2	1/2	1/16		1/16	1		-5	73	1	2	
2	2	9/16	1/16		1/16	1		-1	77	1	2	
2	2	5/8	1/16		1/16	1		-4	68	1	2	
2	2	5/8	1/8		1/8	1		-5	85	2	1	
2	2	11/16	1/16		1/16	1		-5	73	1	2	
2	2	3/4	1/16		1/16	1		-1	77	1	2	
2	2	3/4	1/4		1/4	1		-4	80	1	1	
2	2	13/16	1/16		1/16	1		-4	68	1	2	
2	2	7/8	1/8		1/8	1		0	60	2	1	
2	2	7/8	1/16		1/16	1		-3	75	1	2	
2	2	15/16	1/16		1/16	1		-4	80	1	2	
2	2	1	1/16		1/16	1		-4	68	1	2	
2	2	1	1/8		1/8	1		-3	87	2	1	
2	2	17/16	1/16		1/16	1		0	72	1	2	
2	2	9/8	1/16		1/16	1		-3	75	1	2	
2	2	9/8	1/4		1/4	1		-1	77	1	1	
2	2	19/16	1/16		1/16	1		-1	65	1	2	
