mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.g.#viio2	g	i		#viio2	#vii		o	2				o7	1	1	-4, 5, 2, -1		5	-4
10	10	0	#viio\\	g	i		#viio	#vii		o				\\	o	1	1	5, 2, -1		5	5
13	13	3/16	V[V	g	i	V	V	V							M	1	1	1, 5, 2		1	1
13	13	9/16	VI6	g	i	V	VI6	VI			6				M	1	1	0, -3, -4		-4	0
14	14	0	V7	g	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1	1
14	14	9/16	III6	g	i	V	III6	III			6				M	1	1	1, -2, -3		-3	1
15	15	3/16	iio6	g	i	V	iio6	ii		o	6				o	1	1	-1, -4, 2		2	-1
15	15	9/16	i6	g	i	V	i6	i			6				m	1	1	-3, 1, 0		0	-3
16	16	0	V7	g	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1	1
16	16	9/16	viio2/V	g	i	V	viio2/V	vii		o	2		V		o7	1	1	-3, 6, 3, 0		6	-3
17	17	0	V	g	i	V	V	V							M	1	1	1, 5, 2		1	1
17	17	9/16	VI6	g	i	V	VI6	VI			6				M	1	1	0, -3, -4		-4	0
18	18	0	V7	g	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1	1
18	18	9/16	III6	g	i	V	III6	III			6				M	1	1	1, -2, -3		-3	1
19	19	3/16	iio6	g	i	V	iio6	ii		o	6				o	1	1	-1, -4, 2		2	-1
19	19	9/16	i6	g	i	V	i6	i			6				m	1	1	-3, 1, 0		0	-3
20	20	0	V7	g	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1	1
20	20	9/16	viio2/V	g	i	V	viio2/V	vii		o	2		V		o7	1	1	-3, 6, 3, 0		6	-3
21	21	0	V	g	i	V	V	V							M	1	1	1, 5, 2		1	1
21	21	3/8	VI6	g	i	V	VI6	VI			6				M	1	1	0, -3, -4		-4	0
22	22	0	V7	g	i	V	V7	V			7				Mm7	1	1	1, 5, 2, -1		1	1
22	22	3/8	III6	g	i	V	III6	III			6				M	1	1	1, -2, -3		-3	1
23	23	0	iio6	g	i	V	iio6	ii		o	6				o	1	1	-1, -4, 2		2	-1
23	23	3/8	i6	g	i	V	i6	i			6				m	1	1	-3, 1, 0		0	-3
